density,sample,row,col,plate ,Well
667717.2,374,15,14,1040,H08
682390.8,375,15,15,1040,H08
676204.56,376,15,16,1040,H09
675969.3,377,15,17,1040,H09
677522.2,378,15,18,1040,H10
688093.94,379,15,19,1040,H10
700822,380,15,20,1040,H11
783344.25,381,15,21,1040,H11
-15023.094,382,15,22,1040,H12
5460.8594,383,15,23,1040,H12
